Четверг 25 сен.2025г.  17:59,,,,,,,,,,,,
,,,,,,,,,,,,
АЛФАВИТНЫЙ СПИСОК ЖЕЛЕЗНОДОРОЖНЫХ СТАНЦИЙ,,,,,,,,,,,,
,,,,,,,,,,,,
"Алфавитный список ГОРОДОВ, названия которых не совпадают с названиями станций",,,,,,,,,,,,
,,,,,,,,,,,,
№ п/п,Город,Регион,ж.д. Станция,Дорога,,,,,,,,
  471.,Медвежьегорск,"Республика Карелия, Россия",011306  Медвежья Гора - 0 км,01  Окт (Р),,,,,,,,
  472.,Меджибож,"Хмельницкая обл., Украина",331001  Деражня - 20 км,32  Ю-Зап (У),,,,,,,,
  473.,Медынь,"Калужская обл., Россия",189301  Мятлевская - 15 км,17  Моск (Р),,,,,,,,
  474.,Междуреченский (пгт),"Тюменская обл., Россия",788906  Устье-Аха - 0 км,76  Сверд (Р),,,,,,,,
  475.,Мелиораторов (пгт),"Тюменская обл., Россия",790003  Тюмень - 10 км,76  Сверд (Р),,,,,,,,
  476.,Меловое (пгт),"Луганская обл., Украина",586203  Чертково - 0 км,51  С-Кав (Р),,,,,,,,
  477.,Менделеево (пгт),"Тюменская обл., Россия",796103  Тобольск - 0 км,76  Сверд (Р),,,,,,,,
  478.,Менделеевск,"Республика Татарстан,",648908  Тихоново - 8 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
  479.,Мензелинск,"Республика Татарстан,",648400  Круглое Поле - 65 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
  480.,Мещовск,"Калужская обл., Россия",184806  Кудринская - 21 км,17  Моск (Р),,,,,,,,
  481.,Мингечаур,Азербайджан,555807  Мингечаур-Город - 0 км,55  Азерб,,,,,,,,
  482.,Мингечаур,Азербайджан,555703  Мингечаур - 17 км,55  Азерб,,,,,,,,
  483.,Мир-Башир,Азербайджан,555309  Барда - 18 км,55  Азерб,,,,,,,,
  484.,Миусинск,"Луганская обл., Украина",502602  Красный Луч - 10 км,48  Дон (У),,,,,,,,
  485.,Миха-Цхакая,Республика Грузия,571903  Сенаки - 0 км,57  Грз,,,,,,,,
  486.,Михайлов (пгт),"Ростовская обл., Россия",588105  Тацинская - 10 км,51  С-Кав (Р),,,,,,,,
  487.,Михайловка,"Волгоградская обл., Россия",613608  Себряково - 0 км,61  Прив (Р),,,,,,,,
  488.,Михайловск,"Свердловская обл., Россия",782204  Михайловский Завод - 6 км,76  Сверд (Р),,,,,,,,
  489.,Млынов (пгт),"Ровенская обл., Украина",350303  Дубно - 26 км,35  Льв (У),,,,,,,,
  490.,Молодежное,"Республика Крым, Украина",474008  Симферополь-Грузовой - 0 км,45  Придн (У),,,,,,,,
  491.,Молодогвардейск,"Луганская обл., Украина",508505  Семейкино-Новое - 3 км,48  Дон (У),,,,,,,,
  492.,Монетный (пгт),"Свердловская обл., Россия",785202  Монетная - 0 км,76  Сверд (Р),,,,,,,,
  493.,Мордово (пгт),"Тамбовская обл., Россия",598107  Оборона - 0 км,58  Ю-Вост (Р),,,,,,,,
  494.,Морозовск,"Ростовская обл., Россия",588302  Морозовская - 0 км,51  С-Кав (Р),,,,,,,,
  495.,Мосальск,"Калужская обл., Россия",187503  Барятинская - 42 км,17  Моск (Р),,,,,,,,
  496.,Мстиславль,"Могилевская обл.,",158303  Ходосы - 19 км,13  Бел,,,,,,,,
,,Белоруссия,,,,,,,,,,
  497.,Мургаб,Туркменистан,755103  Семеник - 0 км,75  Трк,,,,,,,,
  498.,Мурованые Куриловцы (пгт),"Винницкая обл., Украина",332409  Котюжаны - 21 км,32  Ю-Зап (У),,,,,,,,
  499.,Набережные Челны,"Республика Татарстан,",648503  Набережные Челны - 8 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
  500.,Нагорнский (пгт),"Пермская обл., Россия",767806  Нагорная - 1 км,76  Сверд (Р),,,,,,,,
  501.,Нариманов,Узбекистан,723009  Ахангаран - 18 км,73  Узбк,,,,,,,,
  502.,Наро-Фоминск,"Московская обл., Россия",183305  Нара - 0 км,17  Моск (Р),,,,,,,,
  503.,Народичи (пгт),"Житомирская обл., Украина",346806  Овруч - 25 км,32  Ю-Зап (У),,,,,,,,
  504.,Нарткала,Кабардино-Балкарская,537809  Докшукино - 0 км,51  С-Кав (Р),,,,,,,,
,,"Республика, Россия",,,,,,,,,,
  505.,Нафталан,Азербайджан,555900  Геран - 18 км,55  Азерб,,,,,,,,
  506.,Находка,"Приморский край, Россия",984517  Бархатная - 0 км,96  Д-Вост (Р),,,,,,,,
  507.,Находка,"Приморский край, Россия",984502  Находка - 0 км,96  Д-Вост (Р),,,,,,,,
  508.,Находка,"Приморский край, Россия",984201  Тихоокеанская - 0 км,96  Д-Вост (Р),,,,,,,,
  509.,Неман,"Калининградская обл.,",104905  Неман-Новый - 0 км,10  Клг (Р),,,,,,,,
,,Россия,,,,,,,,,,
  510.,Нерюнгри,"Республика Саха (Якутия),",911501  Нерюнгри-Пассажирская - 0 км,96  Д-Вост (Р),,,,,,,,
,,Россия,,,,,,,,,,
  511.,Несвиж,"Минская обл., Белоруссия",138600  Городея - 14 км,13  Бел,,,,,,,,
  512.,Нетешин,"Хмельницкая обл., Украина",341200  Кривин - 7 км,32  Ю-Зап (У),,,,,,,,
  513.,Нефтечала,Азербайджан,553207  Нефтечала - 9 км,55  Азерб,,,,,,,,
  514.,Нефтеюганск,"Тюменская обл., Россия",797205  Островной - 42 км,76  Сверд (Р),,,,,,,,
  515.,Нивский (п),"Мурманская обл., Россия",015102  Пинозеро - 0 км,01  Окт (Р),,,,,,,,
  516.,Нижневартовский (пгт),"Тюменская обл., Россия",798005  Нижневартовск I - 0 км,76  Сверд (Р),,,,,,,,
  517.,Нижнекамск,"Республика Татарстан,",648400  Круглое Поле - 35 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
  518.,Нижние Серги,"Свердловская обл., Россия",782308  Нижнесергинская - 0 км,76  Сверд (Р),,,,,,,,
  519.,Нижний Кисляй (пгт),"Воронежская обл., Россия",583101  Бутурлиновка - 35 км,58  Ю-Вост (Р),,,,,,,,
  520.,Нижний Новгород,"Новгородская обл., Россия",260200  Нижний Новгород-Московский -,24  Горьк (Р),,,,,,,,
,,, 0 км,,,,,,,,,
  521.,Нижний Новгород,"Новгородская обл., Россия",264606  Доскино - 12 км,24  Горьк (Р),,,,,,,,
  522.,Нижняя Тавда (пгт),"Тюменская обл., Россия",790003  Тюмень - 82 км,76  Сверд (Р),,,,,,,,
  523.,Никель (пгт),"Мурманская обл., Россия",018201  Никель-Мурманский - 3 км,01  Окт (Р),,,,,,,,
  524.,Николаев,"Львовская обл., Украина",377804  Николаев-Днестровский - 2 км,35  Льв (У),,,,,,,,
  525.,Николаев,"Николаевская обл., Украина",417306  Кульбакино - 1 км,40  Од (У),,,,,,,,
  526.,Николаев,"Львовская обл., Украина",377467  Песочное - 10 км,35  Льв (У),,,,,,,,
  527.,Никольск,"Пензенская обл., Россия",642009  Ночка - 27 км,63  Кбш (Р),,,,,,,,
  528.,Ниспорень (пгт),Республика Молдова,391604  Буковэц - 36 км,39  Млд,,,,,,,,
  529.,Новая Водолага (пгт),"Харьковская обл., Украина",442007  Водолага - 0 км,43  Южн (У),,,,,,,,
  530.,Новая Ляля,"Свердловская обл., Россия",774104  Ляля - 0 км,76  Сверд (Р),,,,,,,,
  531.,Новая Одесса (пгт),"Николаевская обл., Украина",419509  Баловное - 28 км,40  Од (У),,,,,,,,
  532.,Новая Ушица (пгт),"Хмельницкая обл., Украина",333308  Дунаевцы - 48 км,32  Ю-Зап (У),,,,,,,,
  533.,Новоалтайск,"Алтайский край, Россия",840005  Алтайская - 0 км,83  З-Сиб (Р),,,,,,,,
  534.,Новоаннинский,"Волгоградская обл., Россия",613307  Филоново - 0 км,61  Прив (Р),,,,,,,,
  535.,Новоасбест (пгт),"Свердловская обл., Россия",770635  Анатольская - 10 км,76  Сверд (Р),,,,,,,,
  536.,Новобогдановка,"Запорожская обл., Украина",476304  Федоровка - 3 км,45  Придн (У),,,,,,,,
  537.,Новоборисовка,"Одесская обл., Украина",406301  Веселый Кут - 0 км,40  Од (У),,,,,,,,
  538.,Нововильвенский (пгт),"Пермская обл., Россия",766822  Вижай - 35 км,76  Сверд (Р),,,,,,,,
  539.,Нововолынск,"Волынская обл., Украина",353104  Иваничи - 18 км,35  Льв (У),,,,,,,,
  540.,Нововолынск,"Волынская обл., Украина",353208  Владимир-Волынский - 20 км,35  Льв (У),,,,,,,,
  541.,Нововятск,"Кировская обл., Россия",273408  Поздино - 0 км,24  Горьк (Р),,,,,,,,
  542.,Новогродовка,"Донецкая обл., Украина",482108  Гродовка - 3 км,48  Дон (У),,,,,,,,
  543.,Новогуивенское (пгт),"Житомирская обл., Украина",345502  Пряжево - 9 км,32  Ю-Зап (У),,,,,,,,
  544.,Новоднестрянская,"Черновицкая обл., Украина",367906  Романковцы - 18 км,35  Льв (У),,,,,,,,
  545.,Новоильвинский (пгт),"Пермская обл., Россия",762802  Сукманы - 5 км,76  Сверд (Р),,,,,,,,
  546.,Новоказалинск (пгт),"Кзыл-Ординская обл.,",670507  Казалы - 0 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
  547.,Новокаширск,"Московская обл., Россия",191804  Кашира-Пассажирская - 3 км,17  Моск (Р),,,,,,,,
  548.,Новокубанск,"Краснодарский край, Россия",529802  Кубанская - 0 км,51  С-Кав (Р),,,,,,,,
  549.,Новокуйбышевск,"Самарская обл., Россия",639400  Новокуйбышевская - 5 км,63  Кбш (Р),,,,,,,,
  550.,Новоминская,"Краснодарский край, Россия",515804  Албаши - 7 км,51  С-Кав (Р),,,,,,,,
  551.,Новониколаевка (пгт),"Днепропетровская обл.,",456300  Верхнеднепровск - 0 км,45  Придн (У),,,,,,,,
,,Украина,,,,,,,,,,
  552.,Новониколаевский (пгт),"Волгоградская обл., Россия",612906  Алексиково - 0 км,61  Прив (Р),,,,,,,,
  553.,Новоозерянка (пгт),"Житомирская обл., Украина",349109  Дуброва-Олевская - 7 км,32  Ю-Зап (У),,,,,,,,
  554.,Новопокровка (пгт),"Тамбовская обл., Россия",598107  Оборона - 10 км,58  Ю-Вост (Р),,,,,,,,
  555.,Новополтавка,"Запорожская обл., Украина",462706  Синяя Гора - 2 км,45  Придн (У),,,,,,,,
  556.,Новосиль,"Орловская обл., Россия",217605  Залегощь - 16 км,17  Моск (Р),,,,,,,,
  557.,Новотитаровская,"Краснодарский край, Россия",520704  Титаровка - 3 км,51  С-Кав (Р),,,,,,,,
  558.,Новоульяновск,"Ульяновская обл., Россия",644708  Белый Ключ - 7 км,63  Кбш (Р),,,,,,,,
  559.,Новоуспенское,"Запорожская обл., Украина",476501  Украинская - 2 км,45  Придн (У),,,,,,,,
  560.,Новоутинский (пгт),"Свердловская обл., Россия",782115  Коуровка - 3 км,76  Сверд (Р),,,,,,,,
  561.,Новошахтинск,"Ростовская обл., Россия",512208  Михайло-Леонтьевская - 0 км,51  С-Кав (Р),,,,,,,,
  562.,Новые Белокоровичи,"Житомирская обл., Украина",349202  Белокоровичи - 0 км,32  Ю-Зап (У),,,,,,,,
  563.,Новый (п),"Кировоградская обл.,",411507  Лелековка - 0 км,40  Од (У),,,,,,,,
,,Украина,,,,,,,,,,
  564.,Новый Быков (пгт),"Черниговская обл., Украина",323700  Кобыжчи - 28 км,32  Ю-Зап (У),,,,,,,,
  565.,Новый Тап (пгт),"Тюменская обл., Россия",790906  Заводоуковская - 103 км,76  Сверд (Р),,,,,,,,
  566.,Новый Узень,"Мангистауская обл.,",663908  Жанаозен - 0 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
  567.,Нязепетровск,"Челябинская обл., Россия",807308  Нязепетровская - 0 км,80  Ю-Ур (Р),,,,,,,,
  568.,Нях (пгт),"Тюменская обл., Россия",779201  Нягань - 0 км,76  Сверд (Р),,,,,,,,
  569.,Обухов,"Киевская обл., Украина",344707  Триполье-Днепровское - 12 км,32  Ю-Зап (У),,,,,,,,
  570.,Обухов,"Киевская обл., Украина",421664  Васильков - 32 км,40  Од (У),,,,,,,,
  571.,Озерное (пгт),"Житомирская обл., Украина",345502  Пряжево - 2 км,32  Ю-Зап (У),,,,,,,,
  572.,Озерный (пгт),"Свердловская обл., Россия",785518  Костоусово - 3 км,76  Сверд (Р),,,,,,,,
  573.,Октябрьск,"Актюбинская обл.,",660007  Кандыагаш - 0 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
  574.,Октябрьский,"Республика Башкортостан,",651008  Туймазы - 32 км,63  Кбш (Р),,,,,,,,
,,Россия,,,,,,,,,,
  575.,Октябрьский (пгт),"Белгородская обл., Россия",434301  Толоконное - 0 км,58  Ю-Вост (Р),,,,,,,,
  576.,Октябрьский (пгт),"Кашкадарьинская обл.,",734107  Китаб - 0 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  577.,Октябрьский (пгт),"Свердловская обл., Россия",785202  Монетная - 8 км,76  Сверд (Р),,,,,,,,
  578.,Октябрьское (пгт),"Республика Крым, Украина",474807  Элеваторная - 0 км,45  Придн (У),,,,,,,,
  579.,Октябрьское (пгт),"Тюменская обл., Россия",779409  Приобье - 61 км,76  Сверд (Р),,,,,,,,
  580.,Омутинский (пгт),"Тюменская обл., Россия",791203  Омутинская - 0 км,76  Сверд (Р),,,,,,,,
  581.,Омутнинск,"Кировская обл., Россия",274608  Стальная - 0 км,24  Горьк (Р),,,,,,,,
  582.,Опочка,"Псковская обл., Россия",066101  Себеж - 40 км,01  Окт (Р),,,,,,,,
  583.,Орджоникидзе,"Днепропетровская обл.,",466209  Чертомлык - 5 км,45  Придн (У),,,,,,,,
,,Украина,,,,,,,,,,
  584.,Орел (пгт),"Пермская обл., Россия",769303  Березники - 15 км,76  Сверд (Р),,,,,,,,
  585.,Орехов,"Запорожская обл., Россия",464107  Ореховская - 0 км,45  Придн (У),,,,,,,,
  586.,Орловский (пгт),"Ростовская обл., Россия",519001  Двойная - 0 км,51  С-Кав (Р),,,,,,,,
  587.,Орхей,Республика Молдова,391207  Кишинэу - 46 км,39  Млд,,,,,,,,
  588.,Оса,"Пермская обл., Россия",258003  Куеда - 110 км,24  Горьк (Р),,,,,,,,
  589.,Оса,"Пермская обл., Россия",761104  Пермь II - 125 км,76  Сверд (Р),,,,,,,,
  590.,Освея (пгт),"Витебская обл., Белоруссия",161804  Верхнедвинск - 37 км,13  Бел,,,,,,,,
  591.,Остер,"Черниговская обл., Украина",323401  Бобрик - 43 км,32  Ю-Зап (У),,,,,,,,
  592.,Острог,"Ровенская обл., Украина",341003  Острог - 14 км,32  Ю-Зап (У),,,,,,,,
  593.,Отачь (пгт),Республика Молдова,394301  Вэлчинец - 3 км,39  Млд,,,,,,,,
  594.,Отрадненский,"Краснодарский край, Россия",529709  Отрадо-Кубанская - 2 км,51  С-Кав (Р),,,,,,,,
  595.,Отрадный,"Самарская обл., Россия",659006  Новоотрадная - 0 км,63  Кбш (Р),,,,,,,,
  596.,Оханск,"Пермская обл., Россия",762906  Нытва - 100 км,76  Сверд (Р),,,,,,,,
  597.,Оханск,"Пермская обл., Россия",761104  Пермь II - 73 км,76  Сверд (Р),,,,,,,,
  598.,Очер,"Пермская обл., Россия",762304  Верещагино - 23 км,76  Сверд (Р),,,,,,,,
  599.,Павлово,"Нижегородская обл.,",269101  Металлист - 0 км,24  Горьк (Р),,,,,,,,
,,Украина,,,,,,,,,,
  600.,Павловск,"Воронежская обл., Россия",585003  Подгорное - 37 км,58  Ю-Вост (Р),,,,,,,,
  601.,Павловская,"Краснодарский край, Россия",514900  Сосыка-Ейская - 51 км,51  С-Кав (Р),,,,,,,,
  602.,Павловский (пгт),"Пермская обл., Россия",762304  Верещагино - 36 км,76  Сверд (Р),,,,,,,,
  603.,Пайде,Эстония,088702  Тюри - 15 км,08  Эст,,,,,,,,
  604.,Панино (пгт),"Воронежская обл., Россия",591004  Тулиново - 0 км,58  Ю-Вост (Р),,,,,,,,
  605.,Пап (пгт),"Наманганская обл.,",740702  Пап - 4 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  606.,Первомайск,"Днепропетровская обл.,",455204  Николаевка-Донецкая - 6 км,45  Придн (У),,,,,,,,
,,Украина,,,,,,,,,,
  607.,Первомайск (пгт),Республика Молдова,390207  Новосавицкая - 11 км,39  Млд,,,,,,,,
  608.,Первомайский (пгт),"Харьковская обл., Украина",443300  Лихачево - 0 км,43  Южн (У),,,,,,,,
  609.,Первомайский (пгт),"Тамбовская обл., Россия",603803  Богоявленск - 0 км,58  Ю-Вост (Р),,,,,,,,
  610.,Первомайское (пгт),"Николаевская обл., Украина",416002  Заселье - 2 км,40  Од (У),,,,,,,,
  611.,Перевальск,"Луганская обл., Украина",506406  Овраги - 0 км,48  Дон (У),,,,,,,,
  612.,Перевальск,"Луганская обл., Украина",506209  Коммунарск - 7 км,48  Дон (У),,,,,,,,
  613.,Переславль-Залесский,"Ярославская обл., Россия",313501  Переславль - 0 км,28  Сев (Р),,,,,,,,
  614.,Перечинское (пгт),"Ивано-Франковская обл.,",387609  Рожнятов - 21 км,35  Льв (У),,,,,,,,
,,Украина,,,,,,,,,,
  615.,Переяслав-Хмельницкий,"Киевская обл., Украина",322905  Переяславская - 28 км,32  Ю-Зап (У),,,,,,,,
  616.,Першотравневое,"Житомирская обл., Украина",347207  Толкачевский - 1 км,32  Ю-Зап (У),,,,,,,,
  617.,Першотравневое (птг),"Ровенская обл., Украина",356901  Моквин - 25 км,35  Льв (У),,,,,,,,
  618.,Песковка (пгт),"Киевская обл., Украина",321508  Тетерев - 5 км,32  Ю-Зап (У),,,,,,,,
  619.,Петриков,"Гомельская обл.,",153600  Муляровка - 13 км,13  Бел,,,,,,,,
,,Белоруссия,,,,,,,,,,
  620.,Петровск-Забайкальский,"Читинская обл., Россия",940105  Петровский Завод - 0 км,94  Заб (Р),,,,,,,,
  621.,Петровское,"Луганская обл., Украина",502807  Петровеньки - 7 км,48  Дон (У),,,,,,,,
  622.,Петродворец,"Ленинградская обл., Россия",075512  Новый Петергоф - 0 км,01  Окт (Р),,,,,,,,
  623.,Петрозаводск,"Республика Карелия, Россия",049905  Онежский - 0 км,01  Окт (Р),,,,,,,,
  624.,Печенежин (пгт),"Ивано-Франковская обл.,",388809  Коломыя - 12 км,35  Льв (У),,,,,,,,
,,Украина,,,,,,,,,,
  625.,Печоры,"Псковская обл., Россия",070709  Печоры-Псковские - 0 км,01  Окт (Р),,,,,,,,
  626.,Пионерский (пгт),"Тюменская обл., Россия",778209  Алябьево - 0 км,76  Сверд (Р),,,,,,,,
  627.,Пирсагат,Азербайджан,548703  Алят-Новая - 7 км,55  Азерб,,,,,,,,
  628.,Пирсогат (пгт),Азербайджан,549100  Пирсогат - 7 км,55  Азерб,,,,,,,,
  629.,Побужское (пгт),"Кировоградская обл.,",412501  Никель-Побужский - 0 км,40  Од (У),,,,,,,,
,,Украина,,,,,,,,,,
  630.,Пограничный (пгт),"Приморский край, Россия",989205  Гродеково - 0 км,96  Д-Вост (Р),,,,,,,,
  631.,Погребище (пгт),"Винницкая обл., Украина",339107  Ржевусская - 2 км,32  Ю-Зап (У),,,,,,,,
  632.,Пойковский (пгт),"Тюменская обл., Россия",797002  Пыть-Ях - 80 км,76  Сверд (Р),,,,,,,,
  633.,Полазна (пгт),"Пермская обл., Россия",764600  Пальники - 20 км,76  Сверд (Р),,,,,,,,
  634.,Полесское (пгт),"Киевская обл., Украина",347005  Вильча - 15 км,32  Ю-Зап (У),,,,,,,,
  635.,Полтавка,"Республика Крым, Украина",474900  Ефремовская - 0 км,45  Придн (У),,,,,,,,
  636.,Полянка (пгт),"Житомирская обл., Украина",347902  Радулино - 35 км,32  Ю-Зап (У),,,,,,,,
  637.,Понинка (пгт),"Хмельницкая обл., Украина",341709  Полонное - 13 км,32  Ю-Зап (У),,,,,,,,
  638.,Понорница (пгт),"Черниговская обл., Украина",327701  Алтыновка - 50 км,32  Ю-Зап (У),,,,,,,,
  639.,Правдинск,"Калининградская обл.,",101310  Железнодорожный - 25 км,10  Клг (Р),,,,,,,,
,,Россия,,,,,,,,,,
  640.,Привокзальный (пгт),"Свердловская обл., Россия",774000  Верхотурье - 0 км,76  Сверд (Р),,,,,,,,
  641.,Приволжск,"Ивановская обл., Россия",316001  Фурманов - 22 км,28  Сев (Р),,,,,,,,
  642.,Приволье,"Луганская обл., Украина",498708  Рубежное - 10 км,48  Дон (У),,,,,,,,
  643.,Придонской (пгт),"Воронежская обл., Россия",596309  Подклетное - 0 км,58  Ю-Вост (Р),,,,,,,,
  644.,Приморск,"Запорожская обл., Украина",477805  Елизаветовка - 32 км,45  Придн (У),,,,,,,,
  645.,Приморско-Ахтарск,"Краснодарский край, Россия",516304  Ахтари - 0 км,51  С-Кав (Р),,,,,,,,
  646.,Пристень (пгт),"Курская обл., Россия",435107  Ржава - 0 км,58  Ю-Вост (Р),,,,,,,,
  647.,Прогресс (пгт),Республика Молдова,391207  Кишинэу - 46 км,39  Млд,,,,,,,,
  648.,Пролетарск,"Ростовская обл., Россия",518901  Пролетарская - 0 км,51  С-Кав (Р),,,,,,,,
  649.,Пролетарский (пгт),"Белгородская обл., Россия",436400  Готня - 0 км,58  Ю-Вост (Р),,,,,,,,
  650.,Промысла (пгт),"Пермская обл., Россия",766502  Теплая Гора - 6 км,76  Сверд (Р),,,,,,,,
  651.,Пружаны,"Брестская обл., Белоруссия",133607  Оранчицы - 13 км,13  Бел,,,,,,,,
  652.,Пскент,"Ташкентская обл.,",723206  Тойтепа - 14 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  653.,Пустомыты,"Львовская обл., Украина",378008  Глинна-Навария - 0 км,35  Льв (У),,,,,,,,
  654.,Путивль,"Сумская обл., Украина",329209  Путивль - 24 км,32  Ю-Зап (У),,,,,,,,
  655.,Пушкин,"Ленинградская обл., Россия",032707  Царское Село - 0 км,01  Окт (Р),,,,,,,,
  656.,Пушкинские Горы (пгт),"Псковская обл., Россия",070200  Остров - 57 км,01  Окт (Р),,,,,,,,
  657.,Пущино,"Московская обл., Россия",190205  Серпухов - 20 км,17  Моск (Р),,,,,,,,
  658.,Пышма (пгт),"Свердловская обл., Россия",792704  Ощепково - 4 км,76  Сверд (Р),,,,,,,,
  659.,Пятницкое (пгт),"Белгородская обл., Россия",439305  Рай - 3 км,58  Ю-Вост (Р),,,,,,,,
  660.,Радомышль,"Житомирская обл., Украина",347601  Ирша - 30 км,32  Ю-Зап (У),,,,,,,,
  661.,Радуль (пгт),"Черниговская обл., Украина",324309  Голубичи - 35 км,32  Ю-Зап (У),,,,,,,,
  662.,Рассказово,"Тамбовская обл., Россия",602406  Платоновка - 10 км,58  Ю-Вост (Р),,,,,,,,
  663.,Ратно (пгт),"Волынская обл., Украина",354200  Заболотье - 22 км,35  Льв (У),,,,,,,,
  664.,Резина,Республика Молдова,287311  Рыбница - 2 км,28  Сев (Р),,,,,,,,
  665.,Репки (пгт),"Черниговская обл., Украина",324309  Голубичи - 3 км,32  Ю-Зап (У),,,,,,,,
  666.,Рефтинский (пгт),"Свердловская обл., Россия",793800  Асбест - 22 км,76  Сверд (Р),,,,,,,,
  667.,Речица (пгт),"Брестская обл., Белоруссия",139209  Горынь - 0 км,13  Бел,,,,,,,,
  668.,Ржищев (пгт),"Киевская обл., Украина",344603  Кагарлык - 21 км,32  Ю-Зап (У),,,,,,,,
  669.,Риштан,"Ферганская обл.,",742300  Фуркат - 10 км,73  Узбк,,,,,,,,
,,Узбекистан,,,,,,,,,,
  670.,Родники,"Ивановская обл., Россия",316507  Горкино - 11 км,28  Сев (Р),,,,,,,,
  671.,Рокитное (пгт),"Ровенская обл., Украина",355909  Рокитно-Волынское - 0 км,35  Льв (У),,,,,,,,
  672.,Россоны (пгт),"Витебская обл., Белоруссия",161518  Дретунь - 45 км,13  Бел,,,,,,,,
  673.,Рошаль,"Московская обл., Россия",233106  Черусти - 17 км,17  Моск (Р),,,,,,,,
  674.,Рудничный (пгт),"Свердловская обл., Россия",775107  Красный Железняк - 0 км,76  Сверд (Р),,,,,,,,
  675.,Рудничный (пгт),"Пермская обл., Россия",768404  Кизел - 5 км,76  Сверд (Р),,,,,,,,
  676.,Рудный,"Кустанайская обл.,",683901  Железорудная - 0 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
  677.,Ружин (пгт),"Житомирская обл., Украина",339304  Зарудинцы - 10 км,32  Ю-Зап (У),,,,,,,,
  678.,Руза,"Московская обл., Россия",183004  Дорохово - 24 км,17  Моск (Р),,,,,,,,
  679.,Рыбинск,"Ярославская обл., Россия",312301  Рыбинск-Товарный - 0 км,28  Сев (Р),,,,,,,,
  680.,Рыбинск,"Ярославская обл., Россия",312104  Рыбинск-Пассажирский - 0 км,28  Сев (Р),,,,,,,,
  681.,Рышкань (пгт),Республика Молдова,393608  Дрокия - 22 км,39  Млд,,,,,,,,
  682.,Сабирабад,Азербайджан,552508  Сабир - 0 км,55  Азерб,,,,,,,,
  683.,Саблино (с),"Кировоградская обл.,",413707  Сахарная - 0 км,40  Од (У),,,,,,,,
,,Украина,,,,,,,,,,
  684.,Салехард,"Тюменская обл., Россия",289904  Лабытнанги - 20 км,28  Сев (Р),,,,,,,,
  685.,Сарана (пгт),"Свердловская обл., Россия",258802  Саранинский Завод - 5 км,24  Горьк (Р),,,,,,,,
  686.,Сараны (пгт),"Пермская обл., Россия",766707  Лаки - 7 км,76  Сверд (Р),,,,,,,,
  687.,Сарань,"Карагандинская обл.,",675303  Караганозек - 23 км,68  Кзх,,,,,,,,
,,Казахстан,,,,,,,,,,
  688.,Сарапулка (пгт),"Свердловская обл., Россия",794004  Косулино - 13 км,76  Сверд (Р),,,,,,,,
  689.,Сатанов (пгт),"Хмельницкая обл., Украина",333401  Закупное - 20 км,32  Ю-Зап (У),,,,,,,,
  690.,Сафоново (пгт),"Мурманская обл., Россия",018818  Сафоново-Мурманское - 0 км,01  Окт (Р),,,,,,,,
  691.,Свердловск,"Луганская обл., Украина",500908  Должанская - 5 км,48  Дон (У),,,,,,,,
  692.,Свердловск,"Луганская обл., Украина",501309  Вальяновский - 8 км,48  Дон (У),,,,,,,,
  693.,Свердловск,"Луганская обл., Украина",501008  Бирюково - 3 км,48  Дон (У),,,,,,,,
  694.,Светлогорск,"Гомельская обл.,",154209  Светлогорск-на-Березине - 0,13  Бел,,,,,,,,
,,Белоруссия, км,,,,,,,,,
  695.,Светлый,"Калининградская обл.,",103207  Балтийский Лес - 0 км,10  Клг (Р),,,,,,,,
,,Россия,,,,,,,,,,
  696.,Светлый (пгт),"Оренбургская обл., Россия",815107  Рудный Клад - 0 км,80  Ю-Ур (Р),,,,,,,,
  697.,Свирск,"Иркутская обл., Россия",931007  Макарьево - 1 км,92  В-Сиб (Р),,,,,,,,
  698.,Северный (пгт),"Свердловская обл., Россия",777507  Полуночное - 14 км,76  Сверд (Р),,,,,,,,
  699.,Северный Коммунар (пгт),"Пермская обл., Россия",762253  Бородулино - 50 км,76  Сверд (Р),,,,,,,,
  700.,Северный Коспашский (пгт),"Пермская обл., Россия",768404  Кизел - 13 км,76  Сверд (Р),,,,,,,,
  701.,Северо-Задонск,"Тульская обл., Россия",226110  Задонская (рзд) - 0 км,17  Моск (Р),,,,,,,,
  702.,Северодонецк,"Луганская обл., Украина",498500  Лисичанск - 6 км,48  Дон (У),,,,,,,,
  703.,Североморск,"Мурманская обл., Россия",019007  Ваенга - 3 км,01  Окт (Р),,,,,,,,
  704.,Североуральск,"Свердловская обл., Россия",775709  Бокситы - 8 км,76  Сверд (Р),,,,,,,,
